Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.993598	0.0434303	0.51434	0.542596	0.0257084	2.35495	0.332587	115.501	0.624074	0.47963	0.568519	0.316667	0.283333	0.466667	0.366667	0.494444	0.394444	0.405556	0.488889	0.344444	0.305556	0.0388889
All	0.992449	0.0414129	0.406216	0.210733	0.40636	1.17276	0.659804	7.51209	0.462963	0.242593	0.281481	0.15	0.416667	0.394444	0	0.772222	0.177778	0.0333333	0.833333	0.166667	0.0111111	0.155556
All	0.998881	0.0207282	0.561971	0.455717	0.0333484	2.71903	0.504939	58.2304	0.555556	0.531481	0.372222	0.6	0.1	0.666667	0.272222	0.822222	0.155556	0.388889	0.822222	0.138889	0.127778	0.0111111
All	0.991038	0.0269538	0.479055	0.358963	0.0201422	2.64995	0.708986	200.758	0.557407	0.351852	0.372222	0.327778	0.627778	0.25	0.2	0.672222	0.266667	0.222222	0.772222	0.188889	0.127778	0.0611111
All	0.997621	0.0425909	0.271255	0.167821	0.299271	0.865878	0.808343	50.7093	0.438889	0.455556	0.418519	0.216667	0.422222	0.461111	0.3	0.705556	0.2	0.1	0.705556	0.283333	0.0277778	0.255556
All	0.993704	0.0660034	0.380459	0.360074	0.605581	1.9441	0.307008	23.1458	0.403704	0.333333	0.468519	0.238889	0.494444	0.311111	0.188889	0.638889	0.3	0.0833333	0.75	0.211111	0	0.211111
All	0.992618	0.0197293	0.304928	0.578609	0.514918	4.4587	0.829879	12.3834	0.472222	0.17963	0.274074	0.161111	0.5	0.238889	0.0111111	0.783333	0.166667	0.05	0.788889	0.183333	0.0666667	0.116667
All	0.994583	0.0221225	0.473759	0.153195	0.236602	3.71666	0.378362	171.494	0.812963	0.555556	0.55	0.533333	0.211111	0.661111	0.372222	0.65	0.305556	0.35	0.838889	0.138889	0.127778	0.0111111
All	0.998702	0.0306926	0.160663	0.288361	0.65943	3.18395	0.0607439	42.361	0.77963	0.488889	0.527778	0.261111	0.438889	0.5	0.216667	0.655556	0.338889	0.45	0.811111	0.0888889	0.0166667	0.0722222
All	0.998352	0.0550388	0.410745	0.450536	0.109976	3.60234	0.864983	53.3103	0.65	0.607407	0.396296	0.261111	0.444444	0.5	0.227778	0.861111	0.0833333	0.155556	0.883333	0.111111	0.0722222	0.0388889
All	0.990833	0.0500597	0.53547	0.220299	0.726229	4.71294	0.00616921	177.805	0.614815	0.342593	0.405556	0.444444	0.522222	0.35	0.266667	0.833333	0.15	0.294444	0.827778	0.116667	0.0666667	0.05
All	0.996671	0.0233085	0.666895	0.179473	0.73368	1.58346	0.989666	38.329	0.611111	0.507407	0.477778	0.322222	0.344444	0.533333	0.322222	0.661111	0.311111	0.327778	0.85	0.0833333	0	0.0833333
All	0.992251	0.0679046	0.324543	0.380474	0.614938	1.42925	0.0477035	67.7344	0.431481	0.398148	0.385185	0.394444	0.522222	0.35	0.244444	0.638889	0.288889	0.305556	0.488889	0.361111	0.322222	0.0388889
All	0.99012	0.0631543	0.743901	0.693493	0.476761	1.80809	0.528957	30.1853	0.357407	0.253704	0.268519	0.216667	0.572222	0.272222	0.0444444	0.761111	0.183333	0.127778	0.777778	0.177778	0.0777778	0.1
All	0.994302	0.0279113	0.0737029	0.651142	0.463291	0.149749	0.141687	84.0033	0.446296	0.392593	0.361111	0.438889	0.705556	0.222222	0.338889	0.672222	0.222222	0.327778	0.65	0.222222	0.177778	0.0444444
All	0.99729	0.0119759	0.247065	0.219098	0.485169	2.63859	0.194203	150.477	0.788889	0.648148	0.616667	0.527778	0.394444	0.583333	0.461111	0.727778	0.238889	0.472222	0.65	0.316667	0.294444	0.0222222
All	0.998585	0.0578351	0.208531	0.0586821	0.534742	3.33706	0.604074	196.826	0.914815	0.77037	0.731481	0.427778	0.3	0.7	0.666667	0.788889	0.211111	0.427778	0.811111	0.172222	0.172222	0
All	0.991259	0.0587654	0.198147	0.441973	0.215887	2.81256	0.466361	71.453	0.348148	0.262963	0.272222	0.15	0.644444	0.272222	0.144444	0.7	0.244444	0.105556	0.877778	0.122222	0.00555556	0.116667
All	0.99053	0.0166708	0.495979	0.0195063	0.03021	4.52331	0.161625	45.7474	0.638889	0.381481	0.411111	0.366667	0.488889	0.311111	0.244444	0.466667	0.388889	0.311111	0.705556	0.155556	0.138889	0.0166667
