Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.959202	0.0613469	0.548415	0.257112	0.382284	2.12755	0.129632	57.6583	0.266667	0.240741	0.261111	0.0944444	0.544444	0.266667	0.0833333	0.777778	0.161111	0.0388889	0.788889	0.166667	0.0888889	0.0777778
All	0.979807	0.0461725	0.238488	0.721784	0.673138	3.30003	0.50322	140.1	0.305556	0.272222	0.244444	0.188889	0.616667	0.144444	0.144444	0.783333	0.0944444	0.194444	0.838889	0.0611111	0.05	0.0111111
All	0.980884	0.0296677	0.490509	0.664272	0.0741529	1.49586	0.282652	174.267	0.344444	0.287037	0.266667	0.183333	0.466667	0.316667	0.127778	0.877778	0.0833333	0.105556	0.883333	0.0944444	0.0555556	0.0388889
All	0.985972	0.0501042	0.132709	0.601947	0.179043	4.01967	0.0505938	204.214	0.357407	0.307407	0.257407	0.311111	0.655556	0.211111	0.283333	0.755556	0.1	0.255556	0.75	0.111111	0.0388889	0.0722222
All	0.966639	0.0420275	0.0894872	0.0910461	0.570909	1.31259	0.150309	15.7097	0.225926	0.301852	0.261111	0	0.522222	0.166667	0.333333	0.666667	0.166667	0.3	0.638889	0.2	0.0333333	0.166667
All	0.98665	0.0610935	0.594016	0.615108	0.106608	3.14009	0.508775	207.733	0.411111	0.246296	0.307407	0.266667	0.505556	0.266667	0.205556	0.677778	0.233333	0.216667	0.672222	0.222222	0.122222	0.1
All	0.96087	0.0263188	0.649215	0.668488	0.698769	2.48075	0.119463	24.0614	0.248148	0.272222	0.264815	0.155556	0.627778	0.188889	0.0833333	0.705556	0.177778	0.116667	0.633333	0.211111	0.1	0.111111
All	0.995246	0.0265778	0.262157	0.558091	0.468257	1.66704	0.012235	70.6029	0.75	0.631481	0.661111	0.488889	0.394444	0.566667	0.588889	0.822222	0.144444	0.383333	0.544444	0.411111	0.405556	0.00555556
All	0.98394	0.0161822	0.307281	0.564868	0.439608	4.8461	0.442563	60.7375	0.272222	0.227778	0.281481	0.227778	0.522222	0.294444	0.105556	0.655556	0.238889	0.183333	0.894444	0.05	0.0222222	0.0277778
All	0.982547	0.0417215	0.655408	0.556404	0.593561	1.61694	0.00226102	104.862	0.390741	0.251852	0.22963	0.222222	0.527778	0.283333	0.144444	0.811111	0.161111	0.188889	0.872222	0.0888889	0.0166667	0.0722222
All	0.964098	0.0637423	0.143111	0.0328683	0.10391	1.99655	0.120093	178.031	0.277778	0.318519	0.240741	0.15	0.483333	0.188889	0.0333333	0.666667	0.166667	0.105556	0.666667	0.166667	0.166667	0
All	0.977234	0.0477223	0.0283272	0.50171	0.462287	1.7484	0.948103	199.688	0.346296	0.244444	0.257407	0.155556	0.611111	0.144444	0.155556	0.772222	0.105556	0.283333	0.794444	0.0611111	0.0111111	0.05
All	0.956375	0.0431573	0.320579	0.479072	0.29044	2.46158	0.987998	94.752	0.218519	0.248148	0.340741	0.0888889	0.644444	0.166667	0.133333	0.694444	0.166667	0.172222	0.705556	0.166667	0.0333333	0.133333
All	0.964649	0.0597177	0.703135	0.74324	0.0367935	2.73955	0.875066	190.513	0.318519	0.268519	0.257407	0.144444	0.6	0.233333	0.0833333	0.722222	0.177778	0.161111	0.711111	0.172222	0.0722222	0.1
All	0.993371	0.0677064	0.735827	0.608614	0.296883	0.433108	0.582337	204.016	0.594444	0.422222	0.457407	0.344444	0.377778	0.405556	0.305556	0.572222	0.333333	0.377778	0.488889	0.311111	0.205556	0.105556
All	0.984657	0.0552879	0.440731	0.543494	0.591415	2.21344	0.552655	68.3556	0.392593	0.238889	0.233333	0.277778	0.433333	0.327778	0.0555556	0.766667	0.183333	0.116667	0.883333	0.0944444	0.0555556	0.0388889
All	0.957355	0.0332571	0.0118955	0.527023	0.642011	4.3745	0.488857	151.193	0.288889	0.216667	0.331481	0.0722222	0.588889	0.177778	0.0777778	0.683333	0.166667	0.172222	0.705556	0.172222	0.0166667	0.155556
All	0.958301	0.0340796	0.684903	0.645249	0.448872	4.19707	0.598042	211.332	0.237037	0.274074	0.264815	0.127778	0.661111	0.166667	0.105556	0.633333	0.238889	0.0833333	0.677778	0.216667	0.105556	0.111111
All	0.969825	0.0167831	0.0415331	0.629668	0.709197	3.52508	0.0596406	36.0095	0.294444	0.287037	0.285185	0.0888889	0.438889	0.205556	0.155556	0.466667	0.283333	0.227778	0.488889	0.255556	0.138889	0.116667
All	0.950375	0.0159131	0.0688419	0.676274	0.0442818	0.559969	0.547876	205.722	0.25	0.22963	0.287037	0.0666667	0.55	0.2	0.0833333	0.7	0.166667	0.0888889	0.688889	0.166667	0.0666667	0.1
All	0.980737	0.0151179	0.175104	0.148661	0.419652	4.65016	0.288357	50.3996	0.201852	0.248148	0.298148	0.0833333	0.594444	0.161111	0.172222	0.6	0.166667	0.361111	0.583333	0.166667	0.00555556	0.161111
All	0.951691	0.0123824	0.281497	0.267631	0.247153	4.9789	0.622876	76.8318	0.222222	0.242593	0.372222	0.0777778	0.616667	0.166667	0.15	0.666667	0.166667	0.283333	0.666667	0.166667	0	0.166667
All	0.967239	0.031348	0.0969834	0.462642	0.443813	2.88373	0.164142	215.232	0.272222	0.244444	0.346296	0.0444444	0.588889	0.166667	0.105556	0.705556	0.166667	0.216667	0.688889	0.183333	0.00555556	0.177778
All	0.989181	0.0541595	0.257186	0.0612903	0.221958	0.850338	0.352087	89.8018	0.498148	0.311111	0.307407	0.283333	0.394444	0.383333	0.15	0.666667	0.283333	0.211111	0.594444	0.283333	0.183333	0.1
All	0.967573	0.0601927	0.103023	0.0834653	0.0164554	3.89977	0.498468	163.379	0.237037	0.296296	0.288889	0	0.538889	0.166667	0.294444	0.666667	0.166667	0.333333	0.677778	0.155556	0	0.155556
All	0.96959	0.0434303	0.51434	0.542596	0.0257084	2.35495	0.332587	115.501	0.266667	0.246296	0.259259	0.172222	0.577778	0.211111	0.0555556	0.7	0.194444	0.127778	0.677778	0.177778	0.05	0.127778
All	0.963336	0.0414129	0.406216	0.210733	0.40636	1.17276	0.659804	7.51209	0.296296	0.272222	0.344444	0.144444	0.6	0.177778	0.0666667	0.733333	0.166667	0.161111	0.722222	0.166667	0.0666667	0.1
All	0.998352	0.0207282	0.561971	0.455717	0.0333484	2.71903	0.504939	58.2304	0.548148	0.553704	0.390741	0.233333	0.416667	0.516667	0.122222	0.716667	0.244444	0.216667	0.8	0.194444	0.127778	0.0666667
All	0.955652	0.0269538	0.479055	0.358963	0.0201422	2.64995	0.708986	200.758	0.211111	0.248148	0.312963	0.0944444	0.638889	0.166667	0.1	0.683333	0.177778	0.0944444	0.705556	0.166667	0.0888889	0.0777778
All	0.991493	0.0425909	0.271255	0.167821	0.299271	0.865878	0.808343	50.7093	0.438889	0.274074	0.337037	0.288889	0.566667	0.344444	0.0444444	0.744444	0.227778	0.255556	0.822222	0.0555556	0.00555556	0.05
All	0.970165	0.0660034	0.380459	0.360074	0.605581	1.9441	0.307008	23.1458	0.311111	0.257407	0.337037	0.127778	0.661111	0.166667	0.122222	0.7	0.155556	0.25	0.766667	0.133333	0.0333333	0.1
All	0.964253	0.0197293	0.304928	0.578609	0.514918	4.4587	0.829879	12.3834	0.238889	0.253704	0.316667	0.0722222	0.633333	0.172222	0.0722222	0.705556	0.166667	0.166667	0.7	0.166667	0.0277778	0.138889
All	0.97495	0.0221225	0.473759	0.153195	0.236602	3.71666	0.378362	171.494	0.346296	0.224074	0.255556	0.15	0.5	0.266667	0.133333	0.844444	0.122222	0.15	0.861111	0.111111	0.05	0.0611111
All	0.997376	0.0306926	0.160663	0.288361	0.65943	3.18395	0.0607439	42.361	0.735185	0.522222	0.52037	0.611111	0.472222	0.466667	0.472222	0.733333	0.216667	0.411111	0.694444	0.216667	0.2	0.0166667
All	0.995473	0.0550388	0.410745	0.450536	0.109976	3.60234	0.864983	53.3103	0.512963	0.407407	0.47963	0.233333	0.427778	0.461111	0.244444	0.611111	0.35	0.205556	0.755556	0.188889	0.0611111	0.127778
All	0.954533	0.0500597	0.53547	0.220299	0.726229	4.71294	0.00616921	177.805	0.333333	0.237037	0.362963	0.105556	0.561111	0.244444	0.0666667	0.755556	0.166667	0.0888889	0.777778	0.166667	0.1	0.0666667
All	0.98632	0.0233085	0.666895	0.179473	0.73368	1.58346	0.989666	38.329	0.424074	0.218519	0.275926	0.305556	0.422222	0.216667	0.122222	0.766667	0.166667	0.222222	0.755556	0.161111	0	0.161111
All	0.962258	0.0679046	0.324543	0.380474	0.614938	1.42925	0.0477035	67.7344	0.25	0.259259	0.309259	0.0722222	0.505556	0.261111	0.1	0.733333	0.166667	0.172222	0.716667	0.172222	0.0555556	0.116667
All	0.950654	0.0631543	0.743901	0.693493	0.476761	1.80809	0.528957	30.1853	0.196296	0.274074	0.27037	0.177778	0.65	0.166667	0.166667	0.594444	0.255556	0.122222	0.633333	0.233333	0.1	0.133333
