33	34	34	34	34	
30	32	32	32	32	
32	34	35	36	36	
30	33	33	33	33	
32	35	35	35	35	
31	31	31	31	31	
30	31	32	32	32	
32	33	33	33	33	
34	34	34	34	34	
33	33	33	33	34	
32	32	32	32	32	
33	33	33	33	33	
30	33	34	34	34	
29	32	32	32	32	
34	34	34	35	35	
31	31	31	31	31	
31	32	32	32	32	
31	33	33	33	33	
32	32	32	32	32	
34	35	35	35	35	
31	32	32	32	32	
33	35	35	35	35	
31	33	33	33	33	
34	35	35	35	35	
31	31	32	32	32	
32	34	34	34	34	
31	32	32	32	32	
34	36	36	36	36	
33	34	34	34	34	
32	32	32	32	32	
35	35	35	35	35	
32	35	35	35	35	
35	37	37	38	38	
33	35	35	35	35	
32	34	34	34	34	
32	33	33	33	33	
33	34	34	34	34	
30	31	31	32	32	
34	34	34	34	34	
34	34	34	34	34	
31	31	31	31	31	
34	37	37	37	37	
33	34	34	34	34	
30	31	32	32	32	
32	33	33	33	33	
29	30	31	31	31	
36	36	36	36	36	
31	32	32	32	32	
33	33	33	33	33	
30	32	32	32	33	
