Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.999849	0.0892096	0.562331	0.103445	0.112624	0.120781	0.152179	203.262	0.535185	0.442593	0.288889	0.288889	0.505556	0.272222	0.266667	0.622222	0.35	0.394444	0.6	0.3	0.172222	0.127778
All	0.999882	0.103259	0.103777	0.0335224	0.457653	0.382376	0.686539	214.001	0.762963	0.674074	0.5	0.205556	0.611111	0.361111	0.511111	0.688889	0.283333	0.661111	0.811111	0.15	0.105556	0.0444444
All	0.999623	0.176212	0.251056	0.0571481	0.306434	4.7987	0.769308	212.195	0.712963	0.662963	0.522222	0.255556	0.522222	0.394444	0.422222	0.672222	0.305556	0.511111	0.711111	0.172222	0.0833333	0.0888889
All	0.999323	0.112796	0.516269	0.0775008	0.780319	0.253118	0.779872	202.267	0.453704	0.32963	0.340741	0.333333	0.511111	0.25	0.277778	0.683333	0.272222	0.288889	0.805556	0.15	0.05	0.1
All	0.999083	0.177343	0.342382	0.000668429	0.580298	3.50892	0.453143	203.788	0.398148	0.314815	0.301852	0.161111	0.522222	0.283333	0.188889	0.75	0.177778	0.244444	0.822222	0.0944444	0.0388889	0.0555556
All	0.999484	0.186347	0.173603	0.035467	0.145202	4.34892	0.173513	208.825	0.618519	0.609259	0.42037	0.211111	0.572222	0.316667	0.377778	0.705556	0.283333	0.327778	0.683333	0.222222	0.133333	0.0888889
All	0.999795	0.134073	0.0971639	0.0153071	0.0582445	3.42215	0.182557	200.939	0.911111	0.75	0.542593	0.177778	0.7	0.244444	0.6	0.561111	0.355556	0.844444	0.788889	0.188889	0.188889	0
All	0.999004	0.129545	0.434214	0.0112411	0.166679	0.00873471	0.0958696	205.225	0.422222	0.375926	0.316667	0.427778	0.472222	0.405556	0.422222	0.477778	0.45	0.444444	0.511111	0.438889	0.172222	0.266667
All	0.999033	0.0670846	0.118103	0.0497942	0.23556	2.48923	0.0839837	212.645	0.316667	0.359259	0.335185	0.3	0.511111	0.188889	0.266667	0.561111	0.272222	0.377778	0.738889	0.0777778	0.0388889	0.0388889
All	0.999706	0.184361	0.14688	0.0633918	0.486881	2.62877	0.352584	204.625	0.77037	0.687037	0.533333	0.255556	0.522222	0.4	0.488889	0.583333	0.377778	0.727778	0.744444	0.2	0.138889	0.0611111
All	0.999843	0.126939	0.270842	0.0513518	0.711805	3.93235	0.394011	209.673	0.903704	0.812963	0.505556	0.205556	0.644444	0.305556	0.572222	0.605556	0.372222	0.772222	0.772222	0.211111	0.183333	0.0277778
All	0.999497	0.128599	0.40481	0.0108234	0.904419	0.411407	0.521222	203.531	0.644444	0.485185	0.425926	0.305556	0.516667	0.322222	0.355556	0.655556	0.288889	0.35	0.672222	0.205556	0.127778	0.0777778
All	0.99944	0.0863451	0.550819	0.268995	0.600057	0.77045	0.562957	202.03	0.548148	0.427778	0.37037	0.294444	0.561111	0.266667	0.311111	0.761111	0.188889	0.361111	0.783333	0.133333	0.05	0.0833333
All	0.999208	0.160282	0.237834	0.0941513	0.355902	0.872269	0.717118	209.823	0.446296	0.387037	0.331481	0.3	0.522222	0.188889	0.277778	0.627778	0.255556	0.311111	0.75	0.0833333	0.0111111	0.0722222
All	0.999145	0.151681	0.443723	0.190529	0.0505757	4.76496	0.56669	207.661	0.394444	0.375926	0.316667	0.222222	0.555556	0.255556	0.283333	0.794444	0.138889	0.283333	0.805556	0.0888889	0.0222222	0.0666667
All	0.999515	0.106356	0.078282	0.0346881	0.123086	2.67668	0.326334	209.207	0.498148	0.575926	0.438889	0.172222	0.694444	0.266667	0.511111	0.638889	0.338889	0.361111	0.75	0.177778	0.105556	0.0722222
All	0.99975	0.0756777	0.169954	0.071229	0.703971	4.23826	0.449641	209.1	0.837037	0.72037	0.540741	0.25	0.527778	0.388889	0.5	0.516667	0.455556	0.594444	0.694444	0.277778	0.244444	0.0333333
All	0.999745	0.163395	0.164269	0.0812188	0.0719865	2.56177	0.932363	202.78	0.835185	0.703704	0.55	0.283333	0.566667	0.372222	0.572222	0.611111	0.372222	0.65	0.666667	0.288889	0.244444	0.0444444
All	0.999079	0.148884	0.311508	0.0112591	0.087192	0.877907	0.873848	213.409	0.346296	0.314815	0.3	0.216667	0.55	0.188889	0.266667	0.677778	0.216667	0.261111	0.744444	0.111111	0.05	0.0611111
All	0.999722	0.0538189	0.372723	0.0424059	0.0613215	2.99141	0.574209	212.938	0.818519	0.792593	0.538889	0.305556	0.605556	0.344444	0.488889	0.577778	0.355556	0.772222	0.638889	0.338889	0.311111	0.0277778
All	0.999224	0.0642817	0.0190918	0.00246099	0.624065	3.726	0.721255	204.777	0.514815	0.4	0.377778	0.294444	0.616667	0.311111	0.255556	0.661111	0.311111	0.305556	0.772222	0.127778	0.0555556	0.0722222
All	0.999332	0.110267	0.338149	0.128202	0.879664	2.53524	0.295402	205.735	0.581481	0.444444	0.361111	0.283333	0.477778	0.277778	0.3	0.866667	0.105556	0.355556	0.866667	0.0611111	0.0333333	0.0277778
All	0.999787	0.0747417	0.110837	0.011415	0.280152	4.62129	0.00620408	204.048	0.903704	0.696296	0.538889	0.155556	0.694444	0.244444	0.533333	0.505556	0.411111	0.783333	0.772222	0.211111	0.205556	0.00555556
