speaker	0,992029	1	0,024693	0,143756	0,030503	0,025353	0,026409	0,017298	0,029975	0,026938	0,108265	0,012016	0,035917	0,110058	0,127624	0,034992	0,105756	0,036313	0,149851	0,027466	0,127983	0,024165	0,110058	0,033144	0,035389	0,012809	0,129417	0,024165	0,037105	0,125832	0,134077	0,017034	0,110775	0,032087	0,014921	0,031031	0,033936	0,018487	0,103246	0,033749	0,109951	0,026999	0,183251	0,013500	0,006750	0,201576	0,013500	0,013500	0,006750	0,146601	0,128276	0,109951	0,109951	0,164926	0,033749	0,146601	0,109951	0,013500	0,109951	0,033749	0,020250	0,033749	0,128276	0,109951	0,164926	0,020250	0,026999	
computer	0,99839	2	0,024769	0,143773	0,030597	0,025431	0,033357	0,017352	0,030067	0,027021	0,110292	0,012053	0,036028	0,103874	0,129940	0,035100	0,107028	0,036425	0,148231	0,027550	0,129532	0,024239	0,103874	0,033246	0,035498	0,012848	0,130454	0,024239	0,037220	0,128182	0,135732	0,017087	0,104551	0,032186	0,014967	0,038441	0,034041	0,018544	0,106418	0,033853	0,110740	0,027083	0,184566	0,013541	0,006771	0,203023	0,013541	0,013541	0,006771	0,147653	0,129196	0,110740	0,110740	0,166109	0,033853	0,147653	0,110740	0,013541	0,110740	0,033853	0,020312	0,033853	0,129196	0,110740	0,166109	0,020312	0,027083	
printer	0,997383	3	0,024843	0,143614	0,030688	0,025507	0,032832	0,017403	0,030157	0,027101	0,111362	0,012089	0,036135	0,105689	0,132390	0,035205	0,101168	0,044835	0,148489	0,027633	0,130660	0,024311	0,105810	0,033345	0,043341	0,012886	0,132637	0,024311	0,037331	0,131089	0,137486	0,017138	0,099077	0,032282	0,015012	0,037890	0,034142	0,018599	0,107942	0,033954	0,112586	0,027163	0,187644	0,013582	0,006791	0,205093	0,013582	0,013582	0,006791	0,150115	0,131351	0,104694	0,104694	0,167564	0,033954	0,150115	0,113902	0,013582	0,104694	0,033954	0,020373	0,033954	0,130035	0,104694	0,166249	0,020373	0,027163	
monitor	0,996071	4	0,024841	0,145316	0,037965	0,025505	0,032307	0,017402	0,038339	0,027099	0,105407	0,012088	0,044028	0,108530	0,125277	0,035202	0,104418	0,044138	0,148697	0,035403	0,123702	0,024309	0,107901	0,033342	0,042691	0,012885	0,134031	0,024309	0,044607	0,130692	0,138002	0,017136	0,101876	0,032280	0,015011	0,044733	0,034139	0,018597	0,102117	0,033951	0,114461	0,027161	0,190768	0,013581	0,006790	0,207326	0,013581	0,013581	0,006790	0,152615	0,133538	0,099348	0,099348	0,169173	0,033951	0,152615	0,116980	0,013581	0,099348	0,033951	0,020371	0,033951	0,131019	0,099348	0,166654	0,020371	0,027161	
monitor	0,999186	4	0,006418	0,150229	0,026602	0,006590	0,014679	0,004496	0,028786	0,007002	0,099261	0,003123	0,029592	0,112731	0,118402	0,009096	0,109088	0,019797	0,150808	0,027078	0,116111	0,006281	0,110982	0,008615	0,018853	0,003329	0,139786	0,006281	0,028318	0,134526	0,142545	0,004428	0,102635	0,008341	0,003879	0,035379	0,008821	0,004805	0,096833	0,008773	0,120384	0,007018	0,200641	0,003509	0,001755	0,215694	0,003509	0,003509	0,001755	0,160513	0,140449	0,090323	0,090323	0,175566	0,008773	0,160513	0,125395	0,003509	0,090323	0,008773	0,005264	0,008773	0,135438	0,090323	0,170556	0,005264	0,007018	
printer	0,999219	3	0,006419	0,148578	0,023166	0,006591	0,014228	0,004497	0,024923	0,007003	0,102723	0,003124	0,025865	0,112892	0,123827	0,009097	0,100644	0,029202	0,150298	0,023410	0,120020	0,006282	0,111630	0,008616	0,027618	0,003330	0,140902	0,006282	0,024883	0,137289	0,143582	0,004428	0,094844	0,008341	0,003879	0,031405	0,008822	0,004806	0,100747	0,008773	0,120999	0,007019	0,201664	0,003509	0,001755	0,215950	0,003509	0,003509	0,001755	0,161331	0,141165	0,085716	0,085716	0,175617	0,008773	0,161331	0,126879	0,003509	0,085716	0,008773	0,005264	0,008773	0,135285	0,085716	0,169737	0,005264	0,007019	
printer	0,998953	3	0,001657	0,148554	0,019816	0,001702	0,008889	0,001161	0,021989	0,001808	0,102032	0,000807	0,021685	0,115364	0,124594	0,002349	0,093629	0,033276	0,150125	0,020816	0,118953	0,001622	0,114006	0,002225	0,031118	0,000860	0,144116	0,001622	0,020259	0,141024	0,145962	0,001143	0,087356	0,002154	0,001002	0,027733	0,002278	0,001241	0,100862	0,002265	0,126475	0,010232	0,202933	0,000906	0,000453	0,218867	0,000906	0,000906	0,000453	0,163020	0,143906	0,075395	0,075395	0,180638	0,012369	0,161336	0,129656	0,000906	0,075395	0,002265	0,001359	0,002265	0,139041	0,083815	0,170721	0,001359	0,001812	
computer	0,995455	5	0,024794	0,144199	0,041033	0,025457	0,037358	0,017369	0,041796	0,027049	0,105005	0,012066	0,047351	0,105550	0,126422	0,035137	0,097258	0,055819	0,145998	0,038689	0,122299	0,024264	0,104774	0,033280	0,053576	0,012861	0,137266	0,024264	0,047663	0,135435	0,140743	0,017104	0,088255	0,032220	0,014983	0,053287	0,034076	0,018563	0,103521	0,033888	0,122122	0,040464	0,191074	0,013555	0,006778	0,209870	0,013555	0,013555	0,006778	0,153927	0,136690	0,080726	0,080726	0,175394	0,049913	0,151257	0,120564	0,013555	0,080726	0,033888	0,020333	0,033888	0,135577	0,094080	0,166269	0,020333	0,027111	
keyboard	0,994585	6	0,024880	0,146634	0,040347	0,025546	0,036624	0,017430	0,049627	0,027142	0,100194	0,012108	0,054740	0,109373	0,120550	0,035258	0,102464	0,054471	0,139290	0,046281	0,124734	0,024348	0,107596	0,033396	0,052324	0,012906	0,130621	0,024348	0,055603	0,128824	0,143204	0,024995	0,084794	0,032331	0,015035	0,060176	0,034194	0,018627	0,105315	0,042611	0,124663	0,039541	0,193389	0,013602	0,006801	0,211292	0,013602	0,013602	0,006801	0,155124	0,138660	0,077815	0,077815	0,178364	0,055980	0,151223	0,123223	0,013602	0,077815	0,041176	0,020403	0,034005	0,139066	0,090151	0,167065	0,020403	0,027204	
speaker	0,996611	7	0,024678	0,145855	0,039117	0,025337	0,035387	0,017287	0,047402	0,026921	0,100651	0,012009	0,052555	0,109071	0,120840	0,034971	0,102442	0,052350	0,139860	0,044159	0,124633	0,024150	0,107475	0,033123	0,050335	0,012801	0,130061	0,024150	0,053442	0,128094	0,141821	0,024057	0,087068	0,032068	0,014912	0,056975	0,033915	0,018475	0,104755	0,050144	0,124472	0,038062	0,191641	0,013491	0,006746	0,208358	0,013491	0,013491	0,006746	0,153105	0,137681	0,073711	0,073711	0,177510	0,060703	0,148153	0,123180	0,013491	0,073711	0,047408	0,020237	0,033728	0,139493	0,084790	0,164467	0,020237	0,026983	
