Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.999603	0.191728	0.274451	0.260418	0.60704	1.47744	0.606068	204.105	0.575926	0.522222	0.385185	0.311111	0.466667	0.316667	0.305556	0.65	0.327778	0.416667	0.716667	0.177778	0.133333	0.0444444
All	0.999611	0.142464	0.260615	0.134091	0.334538	4.14981	0.552929	204.911	0.738889	0.627778	0.440741	0.288889	0.555556	0.266667	0.338889	0.638889	0.305556	0.5	0.688889	0.266667	0.194444	0.0722222
All	0.999511	0.193348	0.127298	0.0702326	0.771349	3.92886	0.844229	203.675	0.562963	0.555556	0.418519	0.238889	0.577778	0.311111	0.283333	0.583333	0.372222	0.327778	0.75	0.183333	0.111111	0.0722222
All	0.999577	0.0686791	0.210081	0.0596495	0.07646	3.91053	0.516519	209.09	0.685185	0.642593	0.485185	0.305556	0.583333	0.366667	0.383333	0.716667	0.272222	0.444444	0.772222	0.133333	0.0944444	0.0388889
All	0.999851	0.092948	0.077545	0.031109	0.189197	1.80715	0.782833	202.389	0.898148	0.759259	0.516667	0.205556	0.644444	0.3	0.622222	0.611111	0.344444	0.766667	0.827778	0.15	0.144444	0.00555556
All	0.999783	0.0805401	0.206665	0.150258	0.96148	2.78862	0.436086	201.698	0.846296	0.664815	0.435185	0.216667	0.627778	0.316667	0.422222	0.533333	0.416667	0.588889	0.7	0.244444	0.183333	0.0611111
All	0.999655	0.103183	0.291978	0.0777013	0.79983	2.3272	0.0418148	214.528	0.777778	0.690741	0.490741	0.294444	0.483333	0.427778	0.383333	0.661111	0.305556	0.511111	0.655556	0.222222	0.122222	0.1
All	0.999751	0.0848846	0.246481	0.0228767	0.31504	1.97997	0.252259	215.875	0.842593	0.777778	0.555556	0.216667	0.583333	0.372222	0.611111	0.533333	0.405556	0.805556	0.794444	0.183333	0.161111	0.0222222
All	0.999786	0.0202814	0.389518	0.0153538	0.25906	4.7997	0.320852	202.268	0.85	0.77037	0.574074	0.194444	0.688889	0.277778	0.661111	0.594444	0.35	0.844444	0.822222	0.166667	0.155556	0.0111111
All	0.99982	0.124347	0.327575	0.114242	0.188312	2.45564	0.854454	200.583	0.868519	0.701852	0.514815	0.222222	0.633333	0.3	0.472222	0.55	0.4	0.716667	0.711111	0.261111	0.211111	0.05
All	0.999641	0.127765	0.321313	0.139935	0.266054	1.82868	0.86823	202.462	0.735185	0.62963	0.446296	0.316667	0.527778	0.333333	0.261111	0.644444	0.344444	0.461111	0.683333	0.261111	0.144444	0.116667
All	0.99953	0.145279	0.216204	0.0853478	0.969233	4.0635	0.313442	215.827	0.616667	0.555556	0.455556	0.355556	0.572222	0.327778	0.322222	0.666667	0.305556	0.394444	0.705556	0.194444	0.15	0.0444444
All	0.999707	0.175091	0.0912649	0.0787446	0.931869	3.42243	0.691791	203.605	0.8	0.62037	0.514815	0.211111	0.522222	0.394444	0.544444	0.611111	0.35	0.577778	0.666667	0.25	0.161111	0.0888889
All	0.999805	0.152767	0.116351	0.080969	0.754935	3.80521	0.475453	202.487	0.888889	0.7	0.52037	0.183333	0.538889	0.4	0.572222	0.561111	0.411111	0.666667	0.738889	0.222222	0.211111	0.0111111
All	0.999745	0.00755723	0.125632	0.0436609	0.628608	1.12963	0.140388	203.889	0.840741	0.709259	0.566667	0.255556	0.616667	0.311111	0.555556	0.533333	0.422222	0.661111	0.805556	0.161111	0.144444	0.0166667
All	0.999802	0.146791	0.330023	0.0643203	0.544136	4.50181	0.644726	200.16	0.907407	0.762963	0.574074	0.238889	0.633333	0.322222	0.594444	0.55	0.405556	0.75	0.772222	0.194444	0.161111	0.0333333
All	0.999543	0.0800751	0.382014	0.0408137	0.970471	4.78028	0.246734	202.561	0.705556	0.601852	0.525926	0.288889	0.522222	0.372222	0.305556	0.65	0.305556	0.394444	0.722222	0.222222	0.111111	0.111111
All	0.999628	0.0397832	0.0759842	0.0088858	0.302682	2.20129	0.573968	206.555	0.766667	0.631481	0.551852	0.283333	0.666667	0.277778	0.65	0.655556	0.305556	0.622222	0.8	0.155556	0.105556	0.05
All	0.999773	0.0163976	0.211999	0.128301	0.686314	0.449803	0.665999	213.656	0.744444	0.592593	0.437037	0.283333	0.566667	0.283333	0.338889	0.588889	0.366667	0.444444	0.627778	0.261111	0.205556	0.0555556
All	0.99985	0.0634952	0.332751	0.124475	0.705259	0.79761	0.136345	214.329	0.864815	0.762963	0.47963	0.205556	0.488889	0.394444	0.466667	0.594444	0.377778	0.705556	0.666667	0.305556	0.216667	0.0888889
All	0.999631	0.0408148	0.309909	0.110689	0.601389	2.62705	0.856187	200.394	0.740741	0.627778	0.468519	0.272222	0.533333	0.327778	0.355556	0.622222	0.361111	0.494444	0.666667	0.216667	0.116667	0.1
All	0.999709	0.0939264	0.395802	0.0575379	0.186803	1.7858	0.839396	205.12	0.788889	0.759259	0.496296	0.311111	0.477778	0.411111	0.444444	0.633333	0.316667	0.677778	0.611111	0.35	0.261111	0.0888889
All	0.99956	0.113283	0.239691	0.198081	0.721	0.774129	0.6228	201.98	0.540741	0.501852	0.424074	0.305556	0.577778	0.205556	0.344444	0.655556	0.3	0.427778	0.65	0.211111	0.127778	0.0833333
All	0.999557	0.00391117	0.17298	0.136679	0.993208	0.8276	0.406493	206.473	0.568519	0.485185	0.42037	0.283333	0.577778	0.222222	0.288889	0.65	0.344444	0.361111	0.588889	0.283333	0.211111	0.0722222
All	0.999777	0.0521593	0.305091	0.161271	0.857726	0.466426	0.990887	208.677	0.744444	0.598148	0.396296	0.244444	0.544444	0.305556	0.338889	0.55	0.422222	0.511111	0.622222	0.261111	0.155556	0.105556
All	0.999545	0.133919	0.142168	0.00160893	0.745629	2.00391	0.940761	211.269	0.727778	0.690741	0.533333	0.283333	0.572222	0.272222	0.566667	0.561111	0.361111	0.533333	0.65	0.261111	0.211111	0.05
All	0.999569	0.00555406	0.0250015	0.0102923	0.0619415	1.112	0.831892	211.754	0.709259	0.575926	0.474074	0.222222	0.661111	0.272222	0.666667	0.711111	0.255556	0.583333	0.733333	0.222222	0.133333	0.0888889
All	0.999553	0.0812881	0.38772	0.0228644	0.479702	3.73144	0.287535	210.094	0.751852	0.653704	0.525926	0.355556	0.538889	0.361111	0.411111	0.716667	0.25	0.394444	0.7	0.233333	0.116667	0.116667
All	0.999652	0.0500117	0.350781	0.169208	0.364281	0.438164	0.0202643	208.324	0.592593	0.527778	0.451852	0.361111	0.561111	0.272222	0.283333	0.588889	0.355556	0.377778	0.694444	0.222222	0.166667	0.0555556
All	0.999602	0.0595981	0.212564	0.166503	0.247575	0.391796	0.992509	200.897	0.47963	0.464815	0.359259	0.288889	0.561111	0.227778	0.344444	0.672222	0.283333	0.444444	0.644444	0.205556	0.127778	0.0777778
All	0.99956	0.0695701	0.256571	0.15485	0.758012	1.39937	0.859013	214.209	0.592593	0.542593	0.407407	0.261111	0.505556	0.3	0.327778	0.694444	0.294444	0.455556	0.7	0.211111	0.161111	0.05
All	0.99975	0.0436709	0.233495	0.102609	0.934413	1.8592	0.502385	212.243	0.809259	0.674074	0.492593	0.222222	0.555556	0.377778	0.45	0.583333	0.405556	0.594444	0.633333	0.3	0.205556	0.0944444
All	0.99951	0.192542	0.0838064	0.0273907	0.562607	4.29866	0.0358656	212.953	0.488889	0.575926	0.438889	0.188889	0.633333	0.277778	0.544444	0.688889	0.305556	0.361111	0.711111	0.216667	0.127778	0.0888889
All	0.999571	0.0646676	0.374372	0.0695034	0.546112	0.408356	0.715382	202.673	0.594444	0.437037	0.405556	0.361111	0.555556	0.294444	0.338889	0.677778	0.294444	0.355556	0.755556	0.15	0.0611111	0.0888889
All	0.999507	0.107384	0.0565008	0.0391388	0.998584	0.8549	0.985053	205.772	0.377778	0.464815	0.4	0.216667	0.683333	0.244444	0.488889	0.688889	0.283333	0.327778	0.683333	0.222222	0.111111	0.111111
All	0.999662	0.0927013	0.154017	0.012203	0.735051	1.30926	0.373322	215.103	0.816667	0.731481	0.594444	0.261111	0.605556	0.327778	0.577778	0.561111	0.405556	0.616667	0.783333	0.194444	0.116667	0.0777778
All	0.999834	0.1378	0.193804	0.165156	0.510896	2.99492	0.188947	204.204	0.837037	0.735185	0.451852	0.25	0.588889	0.322222	0.422222	0.533333	0.444444	0.683333	0.672222	0.294444	0.133333	0.161111
All	0.999592	0.0169759	0.326868	0.301761	0.812415	3.00123	0.0851501	204.486	0.625926	0.533333	0.427778	0.366667	0.611111	0.244444	0.25	0.672222	0.316667	0.505556	0.694444	0.227778	0.155556	0.0722222
All	0.999893	0.169584	0.380214	0.28831	0.0961674	3.11219	0.600995	214.958	0.740741	0.757407	0.524074	0.227778	0.694444	0.227778	0.566667	0.616667	0.327778	0.666667	0.75	0.222222	0.133333	0.0888889
All	0.999727	0.153355	0.185147	0.160385	0.742096	2.81549	0.48118	206.15	0.783333	0.62037	0.453704	0.261111	0.533333	0.338889	0.333333	0.572222	0.422222	0.527778	0.638889	0.244444	0.172222	0.0722222
All	0.999888	0.13063	0.258891	0.0810399	0.0348153	0.64046	0.874508	204.863	0.816667	0.761111	0.496296	0.194444	0.627778	0.305556	0.522222	0.716667	0.255556	0.688889	0.766667	0.2	0.127778	0.0722222
All	0.99965	0.101813	0.306966	0.0707918	0.331697	4.73532	0.483971	202.283	0.774074	0.696296	0.553704	0.316667	0.522222	0.427778	0.383333	0.605556	0.355556	0.572222	0.716667	0.194444	0.0888889	0.105556
All	0.999749	0.102789	0.37941	0.114199	0.713253	1.95477	0.756999	206.075	0.842593	0.737037	0.47963	0.272222	0.555556	0.322222	0.405556	0.538889	0.4	0.566667	0.65	0.311111	0.2	0.111111
All	0.999526	0.108047	0.336575	0.0641397	0.907779	3.75163	0.586682	207.933	0.635185	0.52037	0.47037	0.305556	0.566667	0.361111	0.322222	0.75	0.244444	0.472222	0.772222	0.188889	0.105556	0.0833333
All	0.999562	0.0584388	0.0423777	0.00347729	0.106696	3.61826	0.905659	204.292	0.738889	0.592593	0.487037	0.288889	0.655556	0.294444	0.677778	0.694444	0.288889	0.544444	0.722222	0.188889	0.144444	0.0444444
All	0.999604	0.104456	0.123466	0.0734551	0.367975	2.90004	0.863639	209.36	0.674074	0.581481	0.468519	0.316667	0.583333	0.338889	0.433333	0.661111	0.305556	0.5	0.727778	0.205556	0.116667	0.0888889
All	0.999616	0.0185498	0.272308	0.0929699	0.0553784	3.30236	0.257592	209.139	0.740741	0.624074	0.464815	0.277778	0.594444	0.316667	0.338889	0.672222	0.288889	0.527778	0.611111	0.266667	0.188889	0.0777778
All	0.999593	0.127482	0.388576	0.354816	0.990044	0.130788	0.201646	206.31	0.414815	0.37037	0.355556	0.338889	0.55	0.261111	0.283333	0.605556	0.361111	0.322222	0.727778	0.222222	0.0777778	0.144444
All	0.999713	0.135021	0.181811	0.121025	0.623325	4.80854	0.46442	215.023	0.790741	0.644444	0.459259	0.25	0.561111	0.338889	0.444444	0.611111	0.355556	0.577778	0.7	0.216667	0.111111	0.105556
All	0.999861	0.0672069	0.0973204	0.0847388	0.0092873	3.56533	0.851893	206.994	0.861111	0.772222	0.516667	0.25	0.633333	0.333333	0.6	0.633333	0.344444	0.794444	0.766667	0.222222	0.194444	0.0277778
All	0.999549	0.179408	0.325639	0.0241052	0.715886	4.00162	0.299864	204.813	0.746296	0.681481	0.533333	0.288889	0.616667	0.316667	0.427778	0.644444	0.322222	0.427778	0.688889	0.244444	0.161111	0.0833333
All	0.999822	0.165036	0.0994714	0.0951543	0.253569	2.58076	0.33464	203.439	0.881481	0.712963	0.485185	0.255556	0.566667	0.355556	0.561111	0.538889	0.416667	0.722222	0.755556	0.233333	0.183333	0.05
All	0.999682	0.00712099	0.0949455	0.091063	0.328664	0.566485	0.70063	211.216	0.614815	0.577778	0.425926	0.3	0.572222	0.294444	0.477778	0.677778	0.305556	0.383333	0.672222	0.183333	0.116667	0.0666667
