Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.9998260	0.1262	0.2372	0.0675	0.0400	1.4550	0.1782	206.9380	0.6889	0.5778	0.4111	0.2389	0.5500	0.2611	0.3056	0.7611	0.1556	0.2778	0.8333	0.1	0.0888889	0.0111111
All	0.9998440	0.1025	0.2451	0.1708	0.1773	4.9274	0.1229	212.4510	0.7278	0.5519	0.4833	0.2500	0.4944	0.3111	0.2333	0.7667	0.1833	0.3500	0.6722	0.177778	0.155556	0.0222222
All	0.9998340	0.0582	0.6792	0.2151	0.5207	0.3994	0.2417	204.7580	0.5778	0.4741	0.3333	0.2389	0.5944	0.2500	0.2222	0.8000	0.1111	0.3444	0.8111	0.0611111	0.0388889	0.0222222
All	0.9998250	0.1284	0.3986	0.2889	0.6560	1.9401	0.0188	212.5870	0.6444	0.4852	0.3444	0.2389	0.4556	0.2833	0.2278	0.8278	0.0944	0.3056	0.8333	0.0555556	0.0555556	0
All	0.9998850	0.1935	0.6125	0.3672	0.9435	3.2004	0.1840	201.3550	0.7167	0.5833	0.4704	0.2556	0.5889	0.2833	0.2833	0.6611	0.3111	0.3611	0.6056	0.322222	0.288889	0.0333333
All	0.9999460	0.0026	0.5279	0.3244	0.1206	0.4724	0.4245	215.9850	0.8370	0.5481	0.4704	0.3444	0.5556	0.3833	0.4389	0.8889	0.1000	0.4278	0.7333	0.211111	0.133333	0.0777778
All	0.9999160	0.0518	0.6837	0.3522	0.6396	4.9067	0.1004	204.3940	0.7463	0.5667	0.5704	0.2000	0.5389	0.4278	0.4111	0.7611	0.1889	0.4944	0.6056	0.338889	0.294444	0.0444444
All	0.9999780	0.1100	0.4424	0.2352	0.8336	1.6468	0.1587	204.0770	0.7741	0.8222	0.7167	0.6222	0.1944	0.8056	0.9222	0.5444	0.4556	0.7889	0.9167	0.0833333	0.0777778	0.00555556
All	0.9999120	0.0660	0.4190	0.3895	0.1851	0.7657	0.3267	204.1800	0.6963	0.5963	0.5519	0.2389	0.6167	0.2778	0.3667	0.7222	0.2056	0.3611	0.7056	0.25	0.216667	0.0333333
All	0.9999300	0.1848	0.1657	0.1596	0.0521	4.6268	0.8676	204.8310	0.8907	0.6648	0.5796	0.3444	0.4222	0.5500	0.5056	0.7222	0.2722	0.4167	0.7167	0.233333	0.166667	0.0666667
