Experiment: Trueswell2013-Exp1

refriger-N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
bed     -N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
13-sofa    	J-17:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
14-computer	J-17:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
15-bed     	J-17:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
16-fork    	J-17:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
16-chair   	J-17:	0.99994	0.99983	1.00000	0.99996	0.45970	0.54436	0.50419


bed     -N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
13-sofa    	J-17:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
14-computer	J-17:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
15-bed     	J-17:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
16-fork    	J-17:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
16-chair   	J-17:	0.99994	0.99983	1.00000	0.99996	0.45970	0.54436	0.50419


computer-N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
17-clock   	J-18:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
18-desk    	J-18:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
19-computer	J-18:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
17-chair   	J-18:	0.99994	0.99977	1.00000	0.99999	0.46604	0.51869	0.51145
18-refriger	J-18:	0.99995	0.99988	1.00000	0.99996	0.47155	0.53827	0.49987


computer-N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
17-clock   	J-18:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
18-desk    	J-18:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
19-computer	J-18:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
18-refriger	J-18:	0.99995	0.99988	1.00000	0.99996	0.47155	0.53827	0.49987
17-chair   	J-18:	0.99994	0.99977	1.00000	0.99999	0.46604	0.51869	0.51145


cooker  -N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
18-fork    	J-24:	0.99991	0.99987	0.99977	0.99999	0.47165	0.48255	0.52386
20-bed     	J-24:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
18-door    	J-24:	0.99994	0.99983	0.99993	0.99999	0.46592	0.48559	0.52586
18-cooker  	J-24:	0.99994	0.99979	0.99998	1.00000	0.45178	0.49707	0.52898
19-computer	J-24:	0.99995	1.00000	0.99978	0.99998	0.51887	0.45178	0.51036


cooker  -N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
20-bed     	J-24:	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
